Upgrade,Building ID,Status,Details
1,7857,Timed Out,Took 600.00 seconds
1,8890,Timed Out,Took 600.00 seconds
1,9709,Timed Out,Took 600.00 seconds
1,9778,Timed Out,Took 600.03 seconds
1,10280,Timed Out,Took 600.00 seconds
1,10396,Timed Out,Took 600.00 seconds
1,10400,Timed Out,Took 600.00 seconds
1,10924,Timed Out,Took 600.06 seconds
1,12565,Timed Out,Took 600.00 seconds
1,13471,Timed Out,Took 600.00 seconds
1,14281,Timed Out,Took 600.00 seconds
1,16384,Timed Out,Took 600.05 seconds
1,16410,Timed Out,Took 600.00 seconds
1,17150,Timed Out,Took 600.00 seconds
1,17733,Timed Out,Took 900.00 seconds
1,18664,Timed Out,Took 900.00 seconds
1,27326,Timed Out,Took 900.00 seconds
1,27773,Timed Out,Took 900.01 seconds
1,28482,Timed Out,Took 900.00 seconds
2,19303,Timed Out,Took 900.00 seconds
5,2120,Timed Out,Took 900.00 seconds
6,15644,Timed Out,Took 900.00 seconds
6,27242,Timed Out,Took 900.00 seconds
8,1181,Timed Out,Took 900.00 seconds
8,4318,Timed Out,Took 900.02 seconds
8,8692,Timed Out,Took 900.00 seconds
8,11875,Timed Out,Took 900.00 seconds
8,13732,Timed Out,Took 900.03 seconds
8,14941,Timed Out,Took 900.00 seconds
8,20436,Timed Out,Took 900.00 seconds
8,24981,Timed Out,Took 900.02 seconds
9,19052,Timed Out,Took 900.00 seconds
10,1365,Timed Out,Took 900.00 seconds
10,4085,Timed Out,Took 900.03 seconds
10,6422,Timed Out,Took 900.00 seconds
13,6168,Timed Out,Took 900.00 seconds
13,14367,Timed Out,Took 900.00 seconds
13,14791,Timed Out,Took 900.00 seconds
13,20794,Timed Out,Took 900.00 seconds
14,3547,Timed Out,Took 900.00 seconds
14,7052,Timed Out,Took 900.01 seconds
14,22455,Timed Out,Took 900.04 seconds
14,25558,Timed Out,Took 900.00 seconds
15,638,Timed Out,Took 900.02 seconds
15,3384,Timed Out,Took 900.00 seconds
15,5596,Timed Out,Took 900.00 seconds
15,5984,Timed Out,Took 900.06 seconds
15,9718,Timed Out,Took 900.03 seconds
15,9895,Timed Out,Took 900.00 seconds
15,10492,Timed Out,Took 900.00 seconds
15,11683,Timed Out,Took 900.01 seconds
15,13783,Timed Out,Took 900.00 seconds
15,14980,Timed Out,Took 900.00 seconds
15,16038,Timed Out,Took 900.00 seconds
15,23240,Timed Out,Took 900.04 seconds
15,27141,Timed Out,Took 900.00 seconds
15,29688,Timed Out,Took 900.04 seconds
16,4282,Timed Out,Took 900.00 seconds
16,18098,Timed Out,Took 900.00 seconds
16,20895,Timed Out,Took 900.06 seconds
16,21321,Timed Out,Took 900.00 seconds
17,10745,Timed Out,Took 900.00 seconds
17,11154,Timed Out,Took 900.04 seconds
18,9069,Timed Out,Took 900.00 seconds
18,9370,Timed Out,Took 900.00 seconds
18,10083,Timed Out,Took 900.00 seconds
18,11666,Timed Out,Took 900.00 seconds
18,11935,Timed Out,Took 900.06 seconds
18,15140,Timed Out,Took 900.06 seconds
18,18298,Timed Out,Took 900.03 seconds
18,20405,Timed Out,Took 900.05 seconds
18,21581,Timed Out,Took 900.00 seconds
18,24405,Timed Out,Took 900.00 seconds
19,3363,Timed Out,Took 900.00 seconds
19,6267,Timed Out,Took 900.00 seconds
19,8468,Timed Out,Took 900.00 seconds
19,15064,Timed Out,Took 900.04 seconds
19,25791,Timed Out,Took 900.06 seconds
19,26384,Timed Out,Took 900.00 seconds
