day_id,start_time,duration,start_soc,weekday,temperature
411,1304,631,37.2,1,15
424,1164,712,0,1,15
619,945,1186,62.8,1,15
632,915,1304,64.1,1,15
1014,1050,840,22,1,15
1499,1067,825,0,1,15
1577,1124,681,0,1,15
1590,1080,786,31,1,15
1692,1032,1393,58.8,1,15
4346,930,1065,31.1,1,15
4359,1110,1020,81.5,1,15
6130,1045,815,0,1,15
7175,958,1282,37.8,1,15
15655,1155,1265,68.8,1,15
17153,966,934,59.4,1,15
19966,1130,690,56.9,1,15
19979,1044,861,40,1,15
22895,100,395,81.4,1,15
22895,780,210,63.3,1,15
22906,582,1378,46.3,1,15
9140,535,815,44.3,0,15
34453,960,960,34.8,0,15
34518,930,990,0,0,15
34531,1170,1380,88.3,0,15
34583,845,1375,44.9,0,15
34642,1140,690,21.6,0,15
34733,1265,825,12.5,0,15
34746,1138,1410,42.9,0,15
34905,1280,640,40.2,0,15
34918,1270,605,40.6,0,15
56231,1305,675,0,0,15
56244,1070,835,51.3,0,15
56257,1240,620,0,0,15
57133,1000,1200,61.1,0,15
58825,1115,970,11.1,0,15
64317,725,1300,38.4,0,15
66849,1252,1203,17.2,0,15
73483,1020,1050,9,0,15
79245,1320,870,0,0,15
79258,600,1260,35.4,0,15
