Zone Type,heating_des_temp,heating_seas_temp,cooling_des_temp,cooling_seas_temp,supply_duct_thermal_regain,return_duct_thermal_regain
attic_vented,heating_des_init + 10,heating_seas_init + 7,cooling_des_init + 22,cooling_seas_init + 13,0.1,0.1
attic_vented_radiant_barrier,heating_des_init + 10,heating_seas_init + 7,0.65 * (cooling_des_init + 22) + 0.35 * 78,0.7 * (cooling_seas_init + 13) + 0.3 * 78,0.1,0.1
attic_unvented,heating_des_init + 10,heating_seas_init + 7,cooling_des_init + 36,cooling_seas_init + 16,0.1,0.1
attic_unvented_radiant_barrier,heating_des_init + 10,heating_seas_init + 7,0.65 * (cooling_des_init + 36) + 0.35 * 78,0.7 * (cooling_seas_init + 16) + 0.3 * 78,0.1,0.1
garage,heating_des_init + 13,heating_seas_init + 11,cooling_des_init + 7,cooling_seas_init + 7,0.1,0.1
unvent_unins_crawlspace,(2 * heating_des_init + 3 * 68) / 5,(2 * heating_seas_init + 3 * 68) / 5,(2 * cooling_des_init + 3 * 78) / 5,(2 * cooling_seas_init + 3 * 78) / 5,0.6,0.6
unvent_crawlspace_ins_floor_wall,(3 * heating_des_init + 68) / 4,(3 * heating_seas_init + 68) / 4,(3 * cooling_des_init + 78) / 4,(3 * cooling_seas_init + 78) / 4,0.6,0.6
unvent_crawlspace_ins_floor,(5 * heating_des_init + 68) / 6,(5 * heating_seas_init + 68) / 6,(5 * cooling_des_init + 78) / 6,(5 * cooling_seas_init + 78) / 6,0.3,0.3
vent_unins_crawlspace,(heating_des_init + 68) / 2,(heating_seas_init + 68) / 2,(cooling_des_init + 78) / 2,(cooling_seas_init + 78) / 2,0.6,0.6
vent_crawlspace_ins_floor_wall,(5 * heating_des_init + 68) / 6,(5 * heating_seas_init + 68) / 6,(5 * cooling_des_init + 78) / 6,(5 * cooling_seas_init + 78) / 6,0.63,0.63
vent_crawlspace_ins_floor,(8 * heating_des_init + 68) / 9,(8 * heating_seas_init + 68) / 9,(8 * cooling_des_init + 78) / 9,(8 * cooling_seas_init + 78) / 9,0.3,0.3
unins_basement,(5 * ground_temp + 2 * heating_des_init + 3 * 68) / 10,(5 * ground_temp + 2 * heating_seas_init + 3 * 68) / 10,(5 * ground_temp + 2 * cooling_des_init + 3 * 78) / 10,(5 * ground_temp + 2 * cooling_seas_init + 3 * 78) / 10,0.5,0.5
basement_ins_walls,(ground_temp + 68) / 2,(ground_temp + 68) / 2,(8 * ground_temp + cooling_des_init + 78) / 10,(8 * ground_temp + cooling_seas_init + 78) / 10,0.6,0.6
basement_ins_ceiling,(3 * ground_temp + heating_des_init) / 4,(3 * ground_temp + heating_seas_init) / 4,(3 * ground_temp + cooling_des_init) / 4,(3 * ground_temp + cooling_seas_init) / 4,0.6,0.6
under_slab,ground_temp,ground_temp,ground_temp,ground_temp,0.2,0.2
ext_walls,(heating_des_init + 68) / 2,(heating_seas_init + 68) / 2,(cooling_des_init + 78) / 2,(cooling_seas_init + 78) / 2,0.2,0.2
