Name,Variable_1,Variable_2,Variable_3,Variable_4
a_eir_t,0.429214442,0.429214442,0.429214442,0.429214442
b_eir_t,-0.003604842,-0.003604842,-0.003604842,-0.003604842
c_eir_t,0.00004578,0.00004578,0.00004578,0.00004578
d_eir_t,0.026490876,0.026490876,0.026490876,0.026490876
e_eir_t,-0.000159212,-0.000159212,-0.000159212,-0.000159212
f_eir_t,-0.000159063,-0.000159063,-0.000159063,-0.000159063
a_eir_ff,1,1,1,1
b_eir_ff,0,0,0,0
c_eir_ff,0,0,0,0
a_eir_plr,0.100754583,1,1,1
b_eir_plr,-0.131544809,0,0,0
c_eir_plr,1.030916234,0,0,0
a_cap_t,1.008993522,1.008993522,1.008993522,1.008993522
b_cap_t,0.006512749,0.006512749,0.006512749,0.006512749
c_cap_t,0,0,0,0
d_cap_t,0.003917566,0.003917566,0.003917566,0.003917566
e_cap_t,-0.000222647,-0.000222647,-0.000222647,-0.000222647
f_cap_t,0,0,0,0
a_cap_ff,1,1,1,1
b_cap_ff,0,0,0,0
c_cap_ff,0,0,0,0
min_plf,0.48015,0.48015,1,1
max_plf,1,1,1,1
